# arm|json
trtexec_yolov8n|{"cap_qps":1490.79}
trtexec_yolov8s|{"cap_qps":1022.98}
trtexec_yolo11n|{"cap_qps":1252.58}
A2_cap_s1|{"pipeline":"cpp_trt_cuda","mode":"file","streams":1,"frames":7945,"detections":14897,"fps":794.5,"lat_ms_p50":1.2568,"lat_ms_p95":1.27309,"lat_ms_p99":1.28668,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.253616,"infer_incl_compact":0.990761,"nms_cpu":0.0141873}}
A2_cap_s1|{"pipeline":"cpp_trt_cuda","mode":"file","streams":1,"frames":7960,"detections":14925,"fps":796,"lat_ms_p50":1.25462,"lat_ms_p95":1.27191,"lat_ms_p99":1.28787,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.25416,"infer_incl_compact":0.987788,"nms_cpu":0.0141955}}
A2_cap_s1|{"pipeline":"cpp_trt_cuda","mode":"file","streams":1,"frames":8022,"detections":15041,"fps":802.2,"lat_ms_p50":1.24416,"lat_ms_p95":1.26139,"lat_ms_p99":1.27691,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.250643,"infer_incl_compact":0.981524,"nms_cpu":0.0142568}}
B2_cap_s1|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":1,"frames":6454,"detections":12102,"fps":645.40,"lat_ms_p50":1.305,"lat_ms_p95":1.374,"lat_ms_p99":1.398,"stages_ms":{"grpc_infer":1.189,"post_compact":0.112,"nms_cpu":0.000}}
B2_cap_s1|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":1,"frames":6451,"detections":12096,"fps":645.10,"lat_ms_p50":1.302,"lat_ms_p95":1.379,"lat_ms_p99":1.404,"stages_ms":{"grpc_infer":1.191,"post_compact":0.112,"nms_cpu":0.000}}
B2_cap_s1|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":1,"frames":6443,"detections":12081,"fps":644.30,"lat_ms_p50":1.305,"lat_ms_p95":1.370,"lat_ms_p99":1.396,"stages_ms":{"grpc_infer":1.190,"post_compact":0.113,"nms_cpu":0.000}}
C2_cap_s1|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 1, "processes": 1, "frames": 4652, "detections": 8723, "fps": 465.2, "per_stream_fps": [465.1], "lat_ms_p50": 1.73, "lat_ms_p95": 1.9, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 1.73}}
C2_cap_s1|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 1, "processes": 1, "frames": 4635, "detections": 8691, "fps": 463.5, "per_stream_fps": [463.4], "lat_ms_p50": 1.75, "lat_ms_p95": 1.89, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 1.75}}
C2_cap_s1|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 1, "processes": 1, "frames": 4641, "detections": 8702, "fps": 464.1, "per_stream_fps": [464.1], "lat_ms_p50": 1.74, "lat_ms_p95": 1.89, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 1.74}}
D_cap_s1|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":1,"frames":10422,"detections":18322,"fps":1042.20,"lat_ms_p50":6.279,"lat_ms_p95":7.202,"lat_ms_p99":7.407}
D_cap_s1|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":1,"frames":10495,"detections":18623,"fps":1049.50,"lat_ms_p50":5.998,"lat_ms_p95":7.208,"lat_ms_p99":7.462}
D_cap_s1|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":1,"frames":10474,"detections":18596,"fps":1047.40,"lat_ms_p50":6.220,"lat_ms_p95":7.224,"lat_ms_p99":7.477}
A2_cap_s2|{"pipeline":"cpp_trt_cuda","mode":"file","streams":2,"frames":10839,"detections":20324,"fps":1083.9,"lat_ms_p50":1.8369,"lat_ms_p95":2.08994,"lat_ms_p99":2.12467,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.260714,"infer_incl_compact":1.48411,"nms_cpu":0.100249}}
A2_cap_s2|{"pipeline":"cpp_trt_cuda","mode":"file","streams":2,"frames":11388,"detections":21354,"fps":1138.8,"lat_ms_p50":1.65853,"lat_ms_p95":2.08299,"lat_ms_p99":2.11208,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.2584,"infer_incl_compact":1.43453,"nms_cpu":0.0631826}}
A2_cap_s2|{"pipeline":"cpp_trt_cuda","mode":"file","streams":2,"frames":10400,"detections":19500,"fps":1040,"lat_ms_p50":1.91884,"lat_ms_p95":2.13304,"lat_ms_p99":2.17074,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.272168,"infer_incl_compact":1.55824,"nms_cpu":0.0926555}}
B2_cap_s2|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":2,"frames":9375,"detections":17579,"fps":937.50,"lat_ms_p50":1.856,"lat_ms_p95":2.078,"lat_ms_p99":2.115,"stages_ms":{"grpc_infer":1.582,"post_compact":0.247,"nms_cpu":0.000}}
B2_cap_s2|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":2,"frames":9392,"detections":17610,"fps":939.20,"lat_ms_p50":1.860,"lat_ms_p95":2.080,"lat_ms_p99":2.115,"stages_ms":{"grpc_infer":1.581,"post_compact":0.257,"nms_cpu":0.000}}
B2_cap_s2|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":2,"frames":9380,"detections":17588,"fps":938.00,"lat_ms_p50":1.863,"lat_ms_p95":2.083,"lat_ms_p99":2.124,"stages_ms":{"grpc_infer":1.584,"post_compact":0.266,"nms_cpu":0.000}}
C2_cap_s2|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 2, "processes": 2, "frames": 7468, "detections": 14002, "fps": 746.8, "per_stream_fps": [373.3, 373.3], "lat_ms_p50": 2.2, "lat_ms_p95": 2.38, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 2.2}}
C2_cap_s2|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 2, "processes": 2, "frames": 7474, "detections": 14014, "fps": 747.4, "per_stream_fps": [373.5, 373.8], "lat_ms_p50": 2.19, "lat_ms_p95": 2.37, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 2.19}}
C2_cap_s2|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 2, "processes": 2, "frames": 7464, "detections": 13995, "fps": 746.4, "per_stream_fps": [373.5, 372.9], "lat_ms_p50": 2.19, "lat_ms_p95": 2.41, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 2.19}}
